1.wav,"the guy in front's got a bad reputation"
2.wav,"take care, the guy in front's got previous"
3.wav,"be careful here, the guy in front's not known for playing fair"
4.wav,"take care, this guy's got a bad reputation"
5.wav,"this guy's got a bad reputation, watch yourself when you pass"
6.wav,"the guy in front's not a clean racer, bear it in mind"
7.wav,"be careful with this guy, he's got a bad reputation"
8.wav,"this guy's got a bad rep, don't expect a fair fight"
9.wav,"this guy's got a bad reputation, watch yourself"
